strike,optionType,expirationDate,volume,openInterest,date_traded,time_traded
67.5,C,2025-09-19,2547.0,3024,2025-08-13,11:34:09
67.5,C,2025-08-15,2361.0,6824,2025-08-13,11:34:09
64.0,P,2025-08-15,2010.0,4342,2025-08-11,06:36:51
71.0,C,2025-08-15,1793.0,3480,2025-08-13,12:59:12
71.0,C,2025-08-22,1336.0,1322,2025-08-13,12:59:37
70.0,C,2025-08-15,1163.0,12512,2025-08-13,12:57:43
75.0,C,2025-09-05,1159.0,1524,2025-08-13,08:12:25
70.0,P,2025-08-15,880.0,8519,2025-08-13,12:59:42
65.0,P,2025-10-17,562.0,2618,2025-08-13,10:23:15
70.0,P,2025-09-19,550.0,11367,2025-08-13,12:54:31
67.5,P,2026-06-18,512.0,1924,2025-08-13,07:39:30
80.0,C,2026-03-20,510.0,3306,2025-08-13,12:17:48
72.5,C,2025-08-15,453.0,13199,2025-08-13,12:57:29
71.0,P,2025-08-15,451.0,399,2025-08-13,12:57:00
70.0,P,2025-11-21,446.0,1880,2025-08-13,11:34:51
72.5,C,2025-09-19,438.0,23301,2025-08-13,12:49:00
70.0,C,2025-09-19,393.0,6998,2025-08-13,12:45:43
72.0,C,2025-08-15,369.0,3821,2025-08-13,12:46:19
72.5,C,2025-11-21,334.0,6571,2025-08-13,11:59:17
75.0,C,2025-09-19,324.0,21892,2025-08-13,11:58:45
73.0,C,2025-09-26,315.0,29,2025-08-13,12:40:56
70.0,C,2026-03-20,303.0,1941,2025-08-13,12:52:16
67.0,P,2025-08-15,302.0,1186,2025-08-13,12:36:59
67.5,P,2025-09-19,264.0,8324,2025-08-13,12:53:15
72.5,C,2025-10-17,231.0,5253,2025-08-13,12:09:34
67.5,P,2025-10-17,220.0,4392,2025-08-13,10:39:00
69.0,P,2025-08-15,213.0,3660,2025-08-13,12:57:48
70.0,P,2025-09-05,209.0,352,2025-08-13,12:09:13
70.0,P,2025-08-22,189.0,389,2025-08-13,12:59:57
72.0,C,2025-08-22,179.0,1163,2025-08-13,12:57:00
69.0,C,2025-08-15,179.0,2163,2025-08-13,12:37:48
70.0,C,2025-08-29,177.0,4007,2025-08-13,10:55:57
75.0,C,2026-01-16,172.0,15363,2025-08-13,12:04:15
70.0,C,2025-08-22,165.0,1225,2025-08-13,12:58:55
72.0,C,2025-09-05,164.0,10378,2025-08-13,12:35:05
68.0,P,2025-08-15,154.0,1859,2025-08-13,12:59:13
72.0,C,2025-08-29,154.0,3482,2025-08-13,12:52:24
66.0,P,2025-08-15,132.0,2476,2025-08-13,12:38:14
70.0,C,2025-10-17,129.0,5251,2025-08-13,11:46:47
70.0,P,2025-10-17,117.0,2469,2025-08-13,12:29:16
65.0,P,2025-08-15,112.0,11269,2025-08-13,12:36:12
80.0,C,2025-09-12,100.0,150,2025-08-11,06:30:07
71.0,C,2025-09-05,98.0,766,2025-08-13,11:31:51
71.0,P,2025-09-05,97.0,111,2025-08-12,10:52:48
65.0,P,2026-01-16,96.0,14341,2025-08-13,11:34:37
73.0,C,2025-08-15,94.0,13299,2025-08-13,11:30:14
77.5,C,2025-09-19,94.0,7232,2025-08-12,12:54:27
67.5,P,2025-11-21,93.0,4432,2025-08-13,11:57:01
69.0,C,2025-08-22,88.0,573,2025-08-13,12:54:08
69.0,P,2025-08-22,86.0,508,2025-08-13,12:53:13
71.0,C,2025-08-29,86.0,919,2025-08-13,12:17:58
67.0,P,2025-08-22,83.0,383,2025-08-13,12:33:15
63.0,P,2025-08-15,76.0,4261,2025-08-12,09:19:56
77.5,C,2026-03-20,71.0,1195,2025-08-13,10:17:30
72.5,P,2026-09-18,70.0,215,2025-08-11,12:16:49
77.5,C,2026-02-20,70.0,723,2025-08-13,12:21:55
70.0,C,2025-11-21,69.0,2908,2025-08-13,12:41:49
75.0,P,2026-06-18,63.0,608,2025-07-18,07:37:09
70.0,P,2025-08-29,62.0,382,2025-08-13,10:56:38
68.0,P,2025-08-22,60.0,353,2025-08-13,12:24:17
70.0,P,2025-09-12,59.0,258,2025-08-13,12:10:10
70.0,C,2026-06-18,55.0,3496,2025-08-13,12:04:06
71.0,P,2025-08-22,53.0,281,2025-08-13,12:21:34
70.0,C,2026-01-16,53.0,5701,2025-08-13,12:19:46
75.0,C,2025-09-12,52.0,98,2025-08-12,07:24:26
68.0,P,2025-08-29,52.0,518,2025-08-13,12:33:27
62.5,P,2026-09-18,51.0,193,2025-08-13,09:40:47
75.0,C,2025-10-17,51.0,3525,2025-08-13,12:46:41
77.5,C,2025-10-17,51.0,2579,2025-08-13,12:30:49
77.5,P,2026-06-18,50.0,92,2025-08-12,09:40:52
65.0,P,2025-11-21,50.0,16335,2025-08-13,12:54:43
72.0,C,2025-09-26,49.0,33,2025-08-13,12:52:05
60.0,P,2025-08-22,46.0,38,2025-08-12,09:20:52
68.0,P,2025-09-05,45.0,558,2025-08-13,11:16:08
60.0,P,2025-08-29,45.0,55,2025-08-08,12:36:40
73.0,C,2025-09-05,43.0,595,2025-08-13,07:40:39
63.0,P,2025-08-29,40.0,573,2025-08-13,09:17:34
67.5,P,2026-01-16,39.0,8542,2025-08-13,12:58:11
72.0,C,2025-09-12,39.0,368,2025-08-13,11:58:32
75.0,C,2025-08-15,39.0,17127,2025-08-13,12:35:05
67.0,P,2025-09-05,39.0,251,2025-08-13,07:40:39
69.0,P,2025-08-29,38.0,480,2025-08-13,12:16:28
70.0,P,2026-06-18,38.0,2343,2025-08-13,12:32:15
76.0,C,2025-08-15,37.0,103,2025-08-13,11:12:44
77.5,C,2025-08-15,37.0,6714,2025-08-12,10:31:03
72.5,C,2026-06-18,36.0,1710,2025-08-13,09:18:09
67.0,P,2025-08-29,35.0,1302,2025-08-13,12:47:04
72.0,P,2025-08-15,34.0,73,2025-08-13,10:31:44
70.0,C,2025-09-12,32.0,189,2025-08-13,11:02:17
62.5,P,2025-08-15,32.0,2677,2025-08-13,11:50:59
71.0,C,2025-09-12,31.0,126,2025-08-13,11:40:28
72.5,C,2026-09-18,31.0,444,2025-08-12,12:49:32
70.0,C,2027-01-15,29.0,1064,2025-08-13,12:43:22
67.5,P,2026-09-18,28.0,1033,2025-08-06,11:38:43
75.0,C,2025-11-21,28.0,16315,2025-08-13,12:25:07
65.0,P,2025-09-19,27.0,9547,2025-08-13,12:50:10
73.0,C,2025-09-12,26.0,299,2025-08-13,12:55:25
74.0,C,2025-09-05,26.0,161,2025-08-13,12:55:56
70.0,P,2026-02-20,25.0,102,2025-08-13,10:43:01
72.5,C,2027-01-15,24.0,620,2025-08-13,11:43:40
67.5,C,2026-01-16,23.0,4520,2025-08-13,12:10:10
80.0,C,2027-01-15,23.0,2047,2025-08-13,08:59:30
62.5,C,2026-01-16,23.0,6482,2025-08-13,12:16:57
60.0,C,2026-01-16,23.0,1751,2025-08-13,10:41:47
62.5,P,2026-01-16,22.0,9572,2025-08-13,10:23:15
77.5,C,2025-11-21,22.0,3119,2025-08-13,12:18:36
80.0,C,2026-01-16,21.0,5265,2025-08-13,10:12:38
67.5,C,2026-03-20,21.0,710,2025-08-12,10:48:17
67.0,P,2025-09-12,20.0,33,2025-08-13,11:58:32
75.0,C,2026-09-18,20.0,275,2025-08-13,10:51:53
61.0,P,2025-09-12,20.0,20,2025-08-01,07:48:23
69.0,P,2025-09-05,20.0,740,2025-08-13,11:45:03
65.0,P,2026-02-20,19.0,660,2025-08-13,10:36:43
73.0,P,2025-08-15,18.0,35,2025-08-12,11:11:12
67.5,P,2025-08-15,18.0,5401,2025-08-13,12:38:44
67.5,P,2027-01-15,17.0,752,2025-08-13,12:08:08
64.0,C,2025-08-29,17.0,17,2025-08-07,11:35:27
67.0,P,2025-09-26,17.0,11,2025-08-13,12:00:22
68.0,C,2025-08-15,17.0,951,2025-08-13,09:53:06
73.0,C,2025-08-29,17.0,1707,2025-08-13,10:12:18
68.0,P,2025-09-12,17.0,91,2025-08-13,12:11:52
70.0,P,2027-01-15,16.0,1164,2025-08-13,11:43:41
70.0,P,2026-01-16,16.0,2203,2025-08-13,12:24:23
65.0,P,2025-08-22,16.0,122,2025-08-13,12:24:56
66.0,P,2025-09-12,16.0,25,2025-08-13,11:58:32
60.0,P,2026-01-16,15.0,7509,2025-08-12,11:39:38
62.5,P,2027-01-15,15.0,2866,2025-08-13,09:00:52
71.0,C,2025-09-26,15.0,494,2025-08-13,12:49:46
75.0,C,2025-08-29,14.0,195,2025-08-13,12:43:55
72.5,P,2026-03-20,14.0,504,2025-08-12,07:00:53
69.0,P,2025-09-12,14.0,200,2025-08-13,12:47:04
69.0,P,2025-09-26,14.0,16,2025-08-13,12:09:12
80.0,C,2025-11-21,14.0,4012,2025-08-13,12:47:55
65.0,P,2025-08-29,14.0,197,2025-08-13,12:32:52
60.0,P,2027-01-15,13.0,1437,2025-08-13,12:30:49
72.5,P,2025-08-15,13.0,318,2025-08-13,12:57:53
73.0,C,2025-08-22,13.0,1197,2025-08-13,12:55:56
65.0,C,2025-08-15,13.0,1572,2025-08-13,08:36:54
69.0,C,2025-08-29,13.0,515,2025-08-13,12:37:48
66.0,P,2025-09-26,13.0,8,2025-08-13,12:41:02
68.0,C,2025-08-29,12.0,374,2025-08-12,12:29:04
65.0,C,2025-10-17,12.0,58,2025-08-12,10:15:24
64.0,P,2025-09-12,11.0,11,2025-08-08,10:14:16
77.0,C,2025-08-15,11.0,24,2025-08-12,10:52:02
76.0,C,2025-09-05,11.0,11,2025-08-08,08:47:04
77.5,C,2026-01-16,10.0,5989,2025-08-12,12:01:37
60.0,C,2026-09-18,10.0,70,2025-08-07,09:12:51
60.0,P,2025-09-12,10.0,10,2025-08-01,07:48:39
65.0,C,2027-01-15,10.0,699,2025-08-11,07:25:02
75.0,C,2026-06-18,10.0,1670,2025-08-13,10:55:54
60.0,C,2025-10-17,10.0,25,2025-08-08,12:47:55
66.0,P,2025-08-22,10.0,317,2025-08-13,12:33:15
75.0,P,2025-11-21,10.0,61,2025-08-06,12:50:42
62.5,P,2025-09-19,10.0,6368,2025-08-13,11:44:34
72.5,P,2025-09-19,9.0,4713,2025-08-13,11:01:56
62.5,C,2026-03-20,9.0,331,2025-08-12,07:05:40
72.5,C,2026-01-16,9.0,5671,2025-08-13,12:48:48
70.0,C,2025-09-26,9.0,12,2025-08-12,06:48:15
66.0,P,2025-08-29,9.0,271,2025-08-13,11:15:54
74.0,C,2025-08-15,9.0,3841,2025-08-13,10:08:47
60.0,P,2026-03-20,9.0,1242,2025-08-12,10:19:05
74.0,P,2025-08-22,8.0,0,2025-07-22,06:30:27
70.0,C,2026-12-18,8.0,394,2025-08-13,11:29:57
80.0,P,2026-09-18,8.0,8,2025-07-09,08:48:37
75.0,C,2026-02-20,8.0,484,2025-08-13,06:32:26
65.0,C,2025-09-19,7.0,2264,2025-08-13,08:36:54
65.0,C,2025-11-21,7.0,1762,2025-08-12,11:38:34
60.0,P,2025-09-19,7.0,4734,2025-08-13,12:50:10
62.0,P,2025-08-22,7.0,49,2025-08-13,09:58:28
72.0,P,2025-08-29,7.0,163,2025-08-13,11:47:33
66.0,P,2025-09-05,7.0,316,2025-08-13,12:31:22
74.0,C,2025-08-29,7.0,233,2025-08-13,10:07:46
70.0,P,2026-03-20,7.0,2178,2025-08-13,07:02:51
67.5,C,2026-02-20,6.0,276,2025-08-05,10:50:29
62.5,P,2026-06-18,6.0,3607,2025-08-13,12:04:23
62.5,P,2025-11-21,6.0,4529,2025-08-13,11:23:32
72.5,P,2026-01-16,6.0,2561,2025-08-13,12:59:17
60.0,C,2026-03-20,6.0,58,2025-08-12,12:28:58
60.0,P,2026-06-18,6.0,1864,2025-08-13,08:52:53
71.0,P,2025-08-29,6.0,135,2025-08-13,11:31:32
77.5,C,2026-06-18,6.0,2402,2025-08-13,12:34:48
65.0,P,2026-03-20,6.0,2968,2025-08-13,11:11:08
61.0,C,2025-08-15,5.0,10,2025-08-11,07:54:42
64.0,C,2025-08-22,5.0,15,2025-08-04,11:16:45
68.0,C,2025-09-05,5.0,89,2025-08-13,08:24:01
77.5,P,2025-11-21,5.0,23,2025-08-07,07:46:50
74.0,P,2025-08-15,5.0,1,2025-08-12,06:30:43
67.5,P,2026-02-20,5.0,73,2025-08-11,11:00:50
72.5,C,2026-03-20,5.0,2046,2025-08-13,06:56:21
69.0,C,2025-09-05,5.0,109,2025-08-12,12:29:04
77.5,P,2025-08-15,5.0,0,2025-07-21,06:54:38
62.5,C,2025-09-19,5.0,1996,2025-08-11,10:40:19
65.0,P,2026-09-18,5.0,369,2025-08-11,12:40:00
62.5,C,2027-01-15,5.0,10719,2025-08-13,09:59:58
65.0,P,2025-09-05,5.0,182,2025-08-12,12:53:10
63.0,P,2025-09-05,5.0,29,2025-08-05,12:43:37
60.0,P,2025-10-17,5.0,267,2025-08-13,06:47:07
67.5,C,2026-06-18,5.0,729,2025-08-13,06:42:47
65.0,C,2026-03-20,5.0,2016,2025-08-13,10:55:43
65.0,C,2025-08-29,5.0,27,2025-08-08,09:56:33
64.0,C,2025-09-12,5.0,4,2025-08-01,08:11:34
65.0,C,2025-08-22,5.0,14,2025-08-12,12:28:58
72.0,P,2025-09-05,4.0,5,2025-08-08,12:45:04
67.5,P,2026-03-20,4.0,1006,2025-08-13,09:07:59
72.5,P,2025-11-21,4.0,662,2025-08-13,10:31:01
72.5,P,2025-10-17,4.0,231,2025-08-13,07:04:38
68.0,P,2025-09-26,4.0,166,2025-08-13,10:24:43
72.5,C,2026-12-18,4.0,126,2025-08-11,06:50:58
77.5,P,2026-03-20,4.0,89,2025-06-11,12:38:17
62.5,C,2025-11-21,4.0,1293,2025-08-13,08:55:38
75.0,P,2026-03-20,4.0,155,2025-06-25,07:18:31
60.0,C,2026-02-20,4.0,1041,2025-08-12,11:24:57
76.0,P,2025-08-15,4.0,2,2025-08-08,08:51:39
65.0,P,2026-06-18,4.0,5713,2025-08-13,10:59:50
80.0,C,2025-09-19,4.0,3684,2025-08-13,12:04:22
62.5,P,2025-10-17,4.0,1920,2025-08-13,10:26:32
63.0,C,2025-08-22,4.0,7,2025-08-04,12:01:26
65.0,P,2025-09-12,3.0,20,2025-08-13,07:52:54
66.0,C,2025-08-15,3.0,108,2025-08-12,08:41:23
70.0,P,2026-09-18,3.0,266,2025-08-13,07:39:43
67.5,C,2025-10-17,3.0,314,2025-08-13,08:26:14
65.0,P,2027-01-15,3.0,1442,2025-08-11,12:54:21
74.0,C,2025-09-12,3.0,1942,2025-08-13,07:03:28
62.0,P,2025-08-29,3.0,42,2025-07-31,07:23:13
60.0,P,2026-09-18,3.0,122,2025-08-11,12:14:55
74.0,C,2025-08-22,3.0,755,2025-08-13,09:02:14
72.0,P,2025-08-22,3.0,79,2025-08-12,12:32:14
73.0,P,2025-08-29,3.0,4,2025-08-13,06:41:50
67.5,P,2026-12-18,3.0,374,2025-08-07,07:15:23
80.0,C,2026-06-18,3.0,1384,2025-08-12,09:50:14
60.0,P,2025-11-21,3.0,1756,2025-08-13,12:39:06
70.0,C,2025-09-05,3.0,725,2025-08-13,09:54:54
70.0,C,2026-09-18,3.0,309,2025-08-13,07:15:03
75.0,P,2025-09-19,2.0,468,2025-08-08,07:06:53
60.0,P,2025-09-05,2.0,22,2025-08-12,09:03:32
75.0,P,2026-09-18,2.0,20,2025-07-08,12:16:20
75.0,P,2026-12-18,2.0,71,2025-08-13,07:27:21
75.0,C,2026-03-20,2.0,1799,2025-08-13,10:18:07
75.0,C,2026-12-18,2.0,708,2025-08-12,10:23:23
74.0,P,2025-09-12,2.0,7,2025-08-13,11:17:42
60.0,P,2025-08-15,2.0,2415,2025-08-13,09:57:58
77.0,C,2025-08-29,2.0,18,2025-08-07,12:53:05
80.0,P,2026-03-20,2.0,6,2025-06-12,12:47:59
80.0,P,2026-06-18,2.0,23,2025-08-12,09:40:14
60.0,C,2026-06-18,2.0,88,2025-08-11,12:50:00
77.5,C,2026-12-18,2.0,87,2025-08-04,12:59:24
67.5,C,2027-01-15,2.0,249,2025-08-12,08:19:03
80.0,P,2026-12-18,2.0,36,2025-08-08,12:08:27
67.0,C,2025-09-05,2.0,167,2025-08-13,09:55:54
67.5,C,2026-09-18,2.0,147,2025-08-12,11:21:29
67.0,C,2025-09-12,2.0,23,2025-08-13,12:40:46
75.0,P,2025-08-15,2.0,36,2025-08-13,07:07:21
77.5,P,2026-12-18,2.0,67,2025-08-13,08:22:49
80.0,P,2026-01-16,2.0,187,2025-08-12,08:23:29
62.0,C,2025-08-22,2.0,8,2025-08-12,08:43:19
65.0,C,2026-09-18,2.0,62,2025-08-13,07:07:01
64.0,P,2025-08-29,2.0,86,2025-08-11,12:45:07
64.0,P,2025-08-22,2.0,91,2025-08-13,10:47:44
70.0,P,2025-09-26,2.0,121,2025-08-13,07:17:58
64.0,C,2025-08-15,2.0,22,2025-08-12,07:08:06
70.0,P,2026-12-18,2.0,323,2025-08-13,10:58:20
62.5,P,2026-12-18,2.0,181,2025-08-12,12:42:49
62.5,P,2026-03-20,2.0,2289,2025-08-12,08:48:20
80.0,C,2025-10-17,2.0,587,2025-08-12,12:43:59
62.5,C,2026-12-18,2.0,457,2025-08-11,11:06:09
69.0,C,2025-09-12,2.0,30,2025-08-13,11:04:39
77.5,P,2026-01-16,2.0,20,2025-08-07,07:44:56
76.0,C,2025-08-22,2.0,14,2025-08-06,12:37:54
66.0,C,2025-08-29,2.0,26,2025-08-13,11:04:04
72.5,P,2026-12-18,2.0,283,2025-08-12,12:41:28
80.0,P,2025-09-19,2.0,43,2025-08-11,07:00:31
66.0,C,2025-09-05,2.0,8,2025-08-11,12:42:57
72.5,C,2026-02-20,2.0,346,2025-08-12,12:12:32
61.0,P,2025-08-29,2.0,27,2025-08-06,09:14:03
61.0,P,2025-08-15,2.0,34,2025-08-07,07:29:00
77.5,P,2026-09-18,2.0,8,2025-08-12,09:44:19
72.5,P,2026-02-20,2.0,25,2025-08-12,12:42:39
72.5,P,2027-01-15,2.0,410,2025-08-08,07:55:09
77.5,P,2027-01-15,1.0,105,2025-08-11,12:57:11
78.0,C,2025-08-22,1.0,4,2025-07-21,12:45:15
80.0,C,2025-08-15,1.0,1842,2025-08-13,09:57:58
76.0,C,2025-08-29,1.0,8,2025-08-07,10:33:08
77.5,P,2025-10-17,1.0,1,2025-08-08,08:02:00
80.0,P,2025-08-15,1.0,2,2025-07-15,11:45:58
76.0,C,2025-09-12,1.0,1,2025-08-08,09:09:33
80.0,P,2025-11-21,1.0,13,2025-07-14,07:28:40
77.5,P,2025-09-19,1.0,80,2025-08-06,08:08:16
77.5,C,2027-01-15,1.0,304,2025-08-13,07:00:07
80.0,C,2026-02-20,1.0,220,2025-08-13,10:47:41
77.5,C,2026-09-18,1.0,340,2025-08-13,06:30:03
80.0,C,2026-12-18,1.0,1312,2025-08-12,10:11:55
80.0,C,2026-09-18,1.0,154,2025-08-06,11:38:43
60.0,C,2025-08-15,1.0,426,2025-08-11,06:30:13
75.0,P,2027-01-15,1.0,215,2025-08-13,07:29:32
62.5,C,2025-08-15,1.0,555,2025-08-08,08:24:25
65.0,C,2025-09-12,1.0,2,2025-08-11,10:43:23
65.0,C,2025-09-05,1.0,3,2025-08-11,11:44:30
64.0,P,2025-09-05,1.0,463,2025-08-12,12:10:31
63.0,P,2025-08-22,1.0,73,2025-08-13,12:33:27
63.0,C,2025-08-15,1.0,8,2025-08-07,09:34:46
62.5,P,2026-02-20,1.0,302,2025-08-12,08:22:48
62.5,C,2026-09-18,1.0,239,2025-08-13,09:28:17
62.5,C,2026-06-18,1.0,249,2025-08-11,11:09:59
62.5,C,2026-02-20,1.0,12,2025-08-12,07:10:30
62.5,C,2025-10-17,1.0,38,2025-08-12,06:37:35
62.0,P,2025-09-12,1.0,79,2025-08-12,12:36:44
75.0,P,2026-01-16,1.0,526,2025-08-01,08:17:03
62.0,P,2025-09-05,1.0,22,2025-08-08,08:39:05
62.0,P,2025-08-15,1.0,1,2025-08-11,07:00:56
62.0,C,2025-08-15,1.0,5,2025-08-07,07:57:46
61.0,P,2025-09-05,1.0,1,2025-08-07,10:29:30
60.0,P,2026-12-18,1.0,1167,2025-08-12,07:31:07
60.0,P,2026-02-20,1.0,66,2025-08-12,08:22:12
60.0,C,2027-01-15,1.0,1127,2025-08-13,09:33:51
60.0,C,2026-12-18,1.0,592,2025-07-22,10:34:26
60.0,C,2025-11-21,1.0,161,2025-08-11,12:58:47
60.0,C,2025-09-19,1.0,749,2025-08-12,07:49:26
65.0,C,2026-01-16,1.0,6124,2025-08-13,10:38:33
65.0,C,2026-02-20,1.0,143,2025-08-08,12:47:50
65.0,C,2026-06-18,1.0,539,2025-08-11,11:09:59
65.0,C,2026-12-18,1.0,3581,2025-08-07,07:06:46
75.0,P,2025-10-17,1.0,36,2025-08-12,08:43:45
75.0,P,2025-09-05,1.0,1,2025-08-11,07:20:36
75.0,C,2027-01-15,1.0,826,2025-08-13,12:28:12
75.0,C,2025-09-26,1.0,5,2025-08-13,11:34:53
75.0,C,2025-08-22,1.0,266,2025-08-13,12:59:40
73.0,P,2025-08-22,1.0,6,2025-08-13,11:47:33
72.5,P,2026-06-18,1.0,1375,2025-08-08,10:29:50
72.0,P,2025-09-12,1.0,12,2025-08-12,12:15:22
71.0,P,2025-09-12,1.0,40,2025-08-13,12:21:34
70.0,C,2026-02-20,1.0,122,2025-08-12,10:53:59
60.0,C,2025-08-29,1.0,1,2025-07-23,12:29:56
69.0,C,2025-09-26,1.0,4,2025-08-12,12:38:51
68.0,C,2025-09-12,1.0,112,2025-08-12,12:17:54
68.0,C,2025-08-22,1.0,291,2025-08-12,07:20:51
67.5,C,2026-12-18,1.0,153,2025-08-12,10:31:38
67.5,C,2025-11-21,1.0,1356,2025-08-12,12:42:54
67.0,C,2025-08-29,1.0,70,2025-08-13,07:42:25
67.0,C,2025-08-22,1.0,50,2025-08-12,06:30:41
67.0,C,2025-08-15,1.0,135,2025-08-12,12:27:58
66.0,C,2025-08-22,1.0,134,2025-08-12,08:12:03
65.0,P,2026-12-18,1.0,481,2025-08-13,09:51:25
80.0,P,2027-01-15,1.0,86,2025-08-08,12:37:10
